HIOKI E.E. CORPORATION,IM3590,Ver. 1.07,Serial No. 150331077
,,,
DATE,2021/9/22,,
TIME,15:47:10,,
,,,
SOURCE,FREQ,,
TRIG,SEQ,,
DRAW,REAL,,
TRIG DELAY,0,s,
SEGMENT,OFF,,
CC,5,mA,
BATTERY,ON,,
RANGE,AUTO,,
SPEED,---,,
AVG,2,,
POINT DELAY,0,s,
,,,
BATT,4.107,V,
No.,FREQUENCY[Hz],RS[ohm],X[ohm]
1,5000.00000 ,0.02103 ,0.00919 
2,3406.50000 ,0.02054 ,0.00596 
3,2320.80000 ,0.02042 ,0.00354 
4,1581.10000 ,0.02057 ,0.00173 
5,1077.20000 ,0.02086 ,0.00040 
6,733.90000 ,0.02148 ,-0.00060 
7,500.00000 ,0.02203 ,-0.00131 
8,340.65000 ,0.02263 ,-0.00182 
9,232.08000 ,0.02335 ,-0.00236 
10,158.11000 ,0.02400 ,-0.00252 
11,107.72000 ,0.02466 ,-0.00270 
12,73.39000 ,0.02559 ,-0.00316 
13,50.00000 ,0.02632 ,-0.00327 
14,34.06500 ,0.02704 ,-0.00343 
15,23.20800 ,0.02791 ,-0.00362 
16,15.81100 ,0.02845 ,-0.00390 
17,10.77200 ,0.02929 ,-0.00460 
18,7.33900 ,0.03011 ,-0.00533 
19,5.00000 ,0.03190 ,-0.00629 
20,3.40600 ,0.03380 ,-0.00644 
21,2.32100 ,0.03576 ,-0.00683 
22,1.58100 ,0.03824 ,-0.00625 
23,1.07700 ,0.03954 ,-0.00513 
24,0.73400 ,0.04068 ,-0.00434 
25,0.50000 ,0.04192 ,-0.00390 
26,0.34100 ,0.04209 ,-0.00294 
27,0.23200 ,0.04240 ,-0.00314 
28,0.15800 ,0.04294 ,-0.00350 
29,0.10800 ,0.04343 ,-0.00348 
30,0.07300 ,0.04469 ,-0.00483 
31,0.05000 ,0.04455 ,-0.00357 
