HIOKI E.E. CORPORATION,IM3590,Ver. 1.07,Serial No. 150331077
,,,
DATE,2021/9/24,,
TIME,16:38:16,,
,,,
SOURCE,FREQ,,
TRIG,SEQ,,
DRAW,REAL,,
TRIG DELAY,0,s,
SEGMENT,OFF,,
CC,5,mA,
BATTERY,ON,,
RANGE,AUTO,,
SPEED,---,,
AVG,2,,
POINT DELAY,0,s,
,,,
BATT,4.099,V,
No.,FREQUENCY[Hz],RS[ohm],X[ohm]
1,5000.00000 ,0.02218 ,0.00778 
2,3406.50000 ,0.02185 ,0.00448 
3,2320.80000 ,0.02206 ,0.00194 
4,1581.10000 ,0.02239 ,-0.00018 
5,1077.20000 ,0.02309 ,-0.00190 
6,733.90000 ,0.02404 ,-0.00335 
7,500.00000 ,0.02520 ,-0.00470 
8,340.65000 ,0.02664 ,-0.00586 
9,232.08000 ,0.02824 ,-0.00686 
10,158.11000 ,0.03041 ,-0.00857 
11,107.72000 ,0.03218 ,-0.00923 
12,73.39000 ,0.03502 ,-0.01034 
13,50.00000 ,0.03750 ,-0.01134 
14,34.06500 ,0.04077 ,-0.01216 
15,23.20800 ,0.04356 ,-0.01296 
16,15.81100 ,0.04669 ,-0.01391 
17,10.77200 ,0.04966 ,-0.01455 
18,7.33900 ,0.05251 ,-0.01578 
19,5.00000 ,0.05619 ,-0.01768 
20,3.40600 ,0.05913 ,-0.02042 
21,2.32100 ,0.06323 ,-0.02468 
22,1.58100 ,0.06863 ,-0.03038 
23,1.07700 ,0.07499 ,-0.03845 
24,0.73400 ,0.08525 ,-0.04843 
25,0.50000 ,0.10094 ,-0.05758 
26,0.34100 ,0.12071 ,-0.06465 
27,0.23200 ,0.14316 ,-0.06552 
28,0.15800 ,0.16404 ,-0.05954 
29,0.10800 ,0.17931 ,-0.05029 
30,0.07300 ,0.18939 ,-0.04086 
31,0.05000 ,0.19670 ,-0.03451 
