HIOKI E.E. CORPORATION,IM3590,Ver. 1.07,Serial No. 150331077
,,,
DATE,2021/11/17,,
TIME,15:25:27,,
,,,
SOURCE,FREQ,,
TRIG,SEQ,,
DRAW,REAL,,
TRIG DELAY,0,s,
SEGMENT,OFF,,
CC,5,mA,
BATTERY,ON,,
RANGE,AUTO,,
SPEED,---,,
AVG,2,,
POINT DELAY,0,s,
,,,
BATT,4.099,V,
No.,FREQUENCY[Hz],RS[ohm],X[ohm]
1,5000.00000 ,0.02256 ,0.00558 
2,3406.50000 ,0.02226 ,0.00306 
3,2320.80000 ,0.02241 ,0.00098 
4,1581.10000 ,0.02273 ,-0.00071 
5,1077.20000 ,0.02341 ,-0.00216 
6,733.90000 ,0.02430 ,-0.00347 
7,500.00000 ,0.02542 ,-0.00457 
8,340.65000 ,0.02676 ,-0.00573 
9,232.08000 ,0.02851 ,-0.00678 
10,158.11000 ,0.03028 ,-0.00752 
11,107.72000 ,0.03236 ,-0.00854 
12,73.39000 ,0.03465 ,-0.00982 
13,50.00000 ,0.03699 ,-0.01077 
14,34.06500 ,0.03955 ,-0.01119 
15,23.20800 ,0.04238 ,-0.01228 
16,15.81100 ,0.04533 ,-0.01287 
17,10.77200 ,0.04822 ,-0.01393 
18,7.33900 ,0.05106 ,-0.01543 
19,5.00000 ,0.05340 ,-0.01722 
20,3.40600 ,0.05655 ,-0.02014 
21,2.32100 ,0.05963 ,-0.02438 
22,1.58100 ,0.06380 ,-0.03058 
23,1.07700 ,0.07001 ,-0.03854 
24,0.73400 ,0.07997 ,-0.04856 
25,0.50000 ,0.09428 ,-0.05845 
26,0.34100 ,0.11441 ,-0.06658 
27,0.23200 ,0.13737 ,-0.06768 
28,0.15800 ,0.16027 ,-0.06282 
29,0.10800 ,0.17843 ,-0.05387 
30,0.07300 ,0.19057 ,-0.04392 
31,0.05000 ,0.19844 ,-0.03651 
