HIOKI E.E. CORPORATION,IM3590,Ver. 1.07,Serial No. 150331077
,,,
DATE,2021/9/22,,
TIME,13:29:31,,
,,,
SOURCE,FREQ,,
TRIG,SEQ,,
DRAW,REAL,,
TRIG DELAY,0,s,
SEGMENT,OFF,,
CC,5,mA,
BATTERY,ON,,
RANGE,AUTO,,
SPEED,---,,
AVG,2,,
POINT DELAY,0,s,
,,,
BATT,4.106,V,
No.,FREQUENCY[Hz],RS[ohm],X[ohm]
1,5000.00000 ,0.02194 ,0.00761 
2,3406.50000 ,0.02171 ,0.00428 
3,2320.80000 ,0.02182 ,0.00170 
4,1581.10000 ,0.02237 ,-0.00046 
5,1077.20000 ,0.02311 ,-0.00224 
6,733.90000 ,0.02411 ,-0.00375 
7,500.00000 ,0.02537 ,-0.00514 
8,340.65000 ,0.02698 ,-0.00652 
9,232.08000 ,0.02887 ,-0.00773 
10,158.11000 ,0.03073 ,-0.00923 
11,107.72000 ,0.03287 ,-0.01011 
12,73.39000 ,0.03602 ,-0.01125 
13,50.00000 ,0.03886 ,-0.01258 
14,34.06500 ,0.04197 ,-0.01400 
15,23.20800 ,0.04557 ,-0.01523 
16,15.81100 ,0.04918 ,-0.01610 
17,10.77200 ,0.05284 ,-0.01700 
18,7.33900 ,0.05677 ,-0.01873 
19,5.00000 ,0.05997 ,-0.01982 
20,3.40600 ,0.06385 ,-0.02301 
21,2.32100 ,0.06806 ,-0.02702 
22,1.58100 ,0.07307 ,-0.03253 
23,1.07700 ,0.08066 ,-0.03969 
24,0.73400 ,0.09128 ,-0.04929 
25,0.50000 ,0.10724 ,-0.05770 
26,0.34100 ,0.12744 ,-0.06326 
27,0.23200 ,0.14989 ,-0.06273 
28,0.15800 ,0.16952 ,-0.05713 
29,0.10800 ,0.18457 ,-0.04772 
30,0.07300 ,0.19439 ,-0.03866 
31,0.05000 ,0.20025 ,-0.03245 
