HIOKI E.E. CORPORATION,IM3590,Ver. 1.07,Serial No. 150331077
,,,
DATE,2021/9/22,,
TIME,12:28:19,,
,,,
SOURCE,FREQ,,
TRIG,SEQ,,
DRAW,REAL,,
TRIG DELAY,0,s,
SEGMENT,OFF,,
CC,5,mA,
BATTERY,ON,,
RANGE,AUTO,,
SPEED,---,,
AVG,2,,
POINT DELAY,0,s,
,,,
BATT,4.107,V,
No.,FREQUENCY[Hz],RS[ohm],X[ohm]
1,5.00000E+03,2.16700E-02,8.00000E-03
2,3.40650E+03,2.13600E-02,4.74000E-03
3,2.32080E+03,2.14800E-02,2.18000E-03
4,1.58110E+03,2.18200E-02,7.00000E-05
5,1.07720E+03,2.25200E-02,-1.52000E-03
6,7.33900E+02,2.34400E-02,-2.83000E-03
7,5.00000E+02,2.44900E-02,-4.04000E-03
8,3.40650E+02,2.57400E-02,-5.15000E-03
9,2.32080E+02,2.71300E-02,-6.38000E-03
10,1.58110E+02,2.89900E-02,-7.18000E-03
11,1.07720E+02,3.10000E-02,-7.94000E-03
12,7.33900E+01,3.32600E-02,-8.55000E-03
13,5.00000E+01,3.54900E-02,-9.09000E-03
14,3.40650E+01,3.77500E-02,-9.77000E-03
15,2.32080E+01,4.00800E-02,-1.01400E-02
16,1.58110E+01,4.23700E-02,-1.06400E-02
17,1.07720E+01,4.43600E-02,-1.12800E-02
18,7.33900E+00,4.65600E-02,-1.21800E-02
19,5.00000E+00,4.88900E-02,-1.41700E-02
20,3.40600E+00,5.15200E-02,-1.68600E-02
21,2.32100E+00,5.47200E-02,-1.98000E-02
22,1.58100E+00,5.99900E-02,-2.44000E-02
23,1.07700E+00,6.74700E-02,-2.96200E-02
24,7.34000E-01,7.72600E-02,-3.34300E-02
25,5.00000E-01,8.91400E-02,-3.47100E-02
26,3.41000E-01,1.01180E-01,-3.31300E-02
27,2.32000E-01,1.10420E-01,-2.88800E-02
28,1.58000E-01,1.18220E-01,-2.42300E-02
29,1.08000E-01,1.22070E-01,-1.98900E-02
30,7.30000E-02,1.25830E-01,-1.71600E-02
31,5.00000E-02,1.28200E-01,-1.57200E-02
