HIOKI E.E. CORPORATION,IM3590,Ver. 1.07,Serial No. 150331077
,,,
DATE,2021/9/24,,
TIME,15:57:07,,
,,,
SOURCE,FREQ,,
TRIG,SEQ,,
DRAW,REAL,,
TRIG DELAY,0,s,
SEGMENT,OFF,,
CC,5,mA,
BATTERY,ON,,
RANGE,AUTO,,
SPEED,---,,
AVG,2,,
POINT DELAY,0,s,
,,,
BATT,4.1,V,
No.,FREQUENCY[Hz],RS[ohm],X[ohm]
1,5.00000E+03,2.19200E-02,8.09000E-03
2,3.40650E+03,2.16100E-02,4.84000E-03
3,2.32080E+03,2.17100E-02,2.31000E-03
4,1.58110E+03,2.20100E-02,2.60000E-04
5,1.07720E+03,2.26300E-02,-1.34000E-03
6,7.33900E+02,2.35200E-02,-2.76000E-03
7,5.00000E+02,2.44800E-02,-3.88000E-03
8,3.40650E+02,2.58100E-02,-4.89000E-03
9,2.32080E+02,2.72500E-02,-5.94000E-03
10,1.58110E+02,2.88100E-02,-6.52000E-03
11,1.07720E+02,3.08900E-02,-7.40000E-03
12,7.33900E+01,3.24900E-02,-8.00000E-03
13,5.00000E+01,3.49500E-02,-8.79000E-03
14,3.40650E+01,3.72000E-02,-9.34000E-03
15,2.32080E+01,3.93000E-02,-9.59000E-03
16,1.58110E+01,4.11200E-02,-1.02700E-02
17,1.07720E+01,4.33000E-02,-1.08000E-02
18,7.33900E+00,4.51600E-02,-1.20600E-02
19,5.00000E+00,4.75700E-02,-1.34900E-02
20,3.40600E+00,4.98400E-02,-1.64600E-02
21,2.32100E+00,5.29700E-02,-1.99000E-02
22,1.58100E+00,5.70200E-02,-2.45200E-02
23,1.07700E+00,6.41800E-02,-3.07800E-02
24,7.34000E-01,7.44000E-02,-3.60400E-02
25,5.00000E-01,8.69900E-02,-3.92700E-02
26,3.41000E-01,1.01310E-01,-3.83100E-02
27,2.32000E-01,1.13530E-01,-3.46800E-02
28,1.58000E-01,1.22120E-01,-2.83800E-02
29,1.08000E-01,1.28020E-01,-2.30000E-02
30,7.30000E-02,1.32310E-01,-1.98400E-02
31,5.00000E-02,1.35160E-01,-1.71200E-02
