HIOKI E.E. CORPORATION,IM3590,Ver. 1.07,Serial No. 150331077,,
,,,,,
DATE,2021/9/16,,,,
TIME,15:41:07,,,,
,,,,,
SOURCE,FREQ,,,,
TRIG,SEQ,,,,
DRAW,REAL,,,,
TRIG DELAY,0,s,,,
SEGMENT,OFF,,,,
CC,5,mA,,,
BATTERY,ON,,,,
RANGE,AUTO,,,,
SPEED,---,,,,
AVG,2,,,,
POINT DELAY,0,s,,,
,,,,,
BATT,4.106,V,,,
No.,FREQUENCY[Hz],RS[ohm],X[ohm],,
1,5.00000E+03,2.22000E-02,9.19000E-03,2.22E-02,-9.19E-03
2,3.41000E+03,2.18000E-02,5.60000E-03,2.18E-02,-5.60E-03
3,2.32000E+03,2.19000E-02,2.81000E-03,2.19E-02,-2.81E-03
4,1.58000E+03,2.22000E-02,6.50000E-04,2.22E-02,-6.50E-04
5,1.08000E+03,2.28000E-02,-1.05000E-03,2.28E-02,1.05E-03
6,7.34000E+02,2.36000E-02,-2.42000E-03,2.36E-02,2.42E-03
7,5.00000E+02,2.46000E-02,-3.66000E-03,2.46E-02,3.66E-03
8,3.41000E+02,2.58000E-02,-4.70000E-03,2.58E-02,4.70E-03
9,2.32000E+02,2.72000E-02,-5.59000E-03,2.72E-02,5.59E-03
10,1.58000E+02,2.90000E-02,-6.69000E-03,2.90E-02,6.69E-03
11,1.08000E+02,3.08000E-02,-7.23000E-03,3.08E-02,7.23E-03
12,7.34000E+01,3.27000E-02,-8.03000E-03,3.27E-02,8.03E-03
13,5.00000E+01,3.49000E-02,-8.19000E-03,3.49E-02,8.19E-03
14,3.41000E+01,3.69000E-02,-8.79000E-03,3.69E-02,8.79E-03
15,2.32000E+01,3.91000E-02,-9.40000E-03,3.91E-02,9.40E-03
16,1.58000E+01,4.09000E-02,-9.98000E-03,4.09E-02,9.98E-03
17,1.08000E+01,4.31000E-02,-1.06000E-02,4.31E-02,1.06E-02
18,7.34000E+00,4.50000E-02,-1.19000E-02,4.50E-02,1.19E-02
19,5.00000E+00,4.70000E-02,-1.38000E-02,4.70E-02,1.38E-02
20,3.41000E+00,4.95000E-02,-1.66000E-02,4.95E-02,1.66E-02
21,2.32000E+00,5.26000E-02,-2.04000E-02,5.26E-02,2.04E-02
22,1.58000E+00,5.72000E-02,-2.49000E-02,5.72E-02,2.49E-02
23,1.08000E+00,6.45000E-02,-3.04000E-02,6.45E-02,3.04E-02
24,7.34000E-01,7.46000E-02,-3.52000E-02,7.46E-02,3.52E-02
25,5.00000E-01,8.77000E-02,-3.76000E-02,8.77E-02,3.76E-02
26,3.41000E-01,1.01000E-01,-3.59000E-02,1.01E-01,3.59E-02
27,2.32000E-01,1.12000E-01,-3.17000E-02,1.12E-01,3.17E-02
28,1.58000E-01,1.20000E-01,-2.72000E-02,1.20E-01,2.72E-02
29,1.08000E-01,1.25000E-01,-2.22000E-02,1.25E-01,2.22E-02
30,7.30000E-02,1.28000E-01,-1.89000E-02,1.28E-01,1.89E-02
31,5.00000E-02,1.32000E-01,-1.50000E-02,1.32E-01,1.50E-02
