HIOKI E.E. CORPORATION,IM3590,Ver. 1.07,Serial No. 150331077
,,,
DATE,2021/11/17,,
TIME,14:29:05,,
,,,
SOURCE,FREQ,,
TRIG,SEQ,,
DRAW,REAL,,
TRIG DELAY,0,s,
SEGMENT,OFF,,
CC,5,mA,
BATTERY,ON,,
RANGE,AUTO,,
SPEED,---,,
AVG,2,,
POINT DELAY,0,s,
,,,
BATT,4.099,V,
No.,FREQUENCY[Hz],RS[ohm],X[ohm]
1,5000.00000 ,0.02212 ,0.00570 
2,3406.50000 ,0.02175 ,0.00326 
3,2320.80000 ,0.02184 ,0.00124 
4,1581.10000 ,0.02216 ,-0.00039 
5,1077.20000 ,0.02274 ,-0.00175 
6,733.90000 ,0.02362 ,-0.00292 
7,500.00000 ,0.02465 ,-0.00390 
8,340.65000 ,0.02583 ,-0.00487 
9,232.08000 ,0.02728 ,-0.00575 
10,158.11000 ,0.02858 ,-0.00655 
11,107.72000 ,0.03043 ,-0.00726 
12,73.39000 ,0.03248 ,-0.00782 
13,50.00000 ,0.03465 ,-0.00831 
14,34.06500 ,0.03645 ,-0.00894 
15,23.20800 ,0.03870 ,-0.00926 
16,15.81100 ,0.04076 ,-0.00951 
17,10.77200 ,0.04272 ,-0.01026 
18,7.33900 ,0.04466 ,-0.01141 
19,5.00000 ,0.04670 ,-0.01319 
20,3.40600 ,0.04884 ,-0.01588 
21,2.32100 ,0.05253 ,-0.01959 
22,1.58100 ,0.05650 ,-0.02516 
23,1.07700 ,0.06352 ,-0.03162 
24,0.73400 ,0.07352 ,-0.03864 
25,0.50000 ,0.08736 ,-0.04320 
26,0.34100 ,0.10207 ,-0.04429 
27,0.23200 ,0.11653 ,-0.04021 
28,0.15800 ,0.12735 ,-0.03509 
29,0.10800 ,0.13449 ,-0.02837 
30,0.07300 ,0.13976 ,-0.02318 
31,0.05000 ,0.14194 ,-0.02016 
