HIOKI E.E. CORPORATION,IM3590,Ver. 1.07,Serial No. 150331077
,,,
DATE,2021/9/24,,
TIME,14:53:22,,
,,,
SOURCE,FREQ,,
TRIG,SEQ,,
DRAW,REAL,,
TRIG DELAY,0,s,
SEGMENT,OFF,,
CC,5,mA,
BATTERY,ON,,
RANGE,AUTO,,
SPEED,---,,
AVG,2,,
POINT DELAY,0,s,
,,,
BATT,4.101,V,
No.,FREQUENCY[Hz],RS[ohm],X[ohm]
1,5000.00000 ,0.02138 ,0.00851 
2,3406.50000 ,0.02097 ,0.00531 
3,2320.80000 ,0.02091 ,0.00293 
4,1581.10000 ,0.02121 ,0.00094 
5,1077.20000 ,0.02166 ,-0.00046 
6,733.90000 ,0.02236 ,-0.00165 
7,500.00000 ,0.02322 ,-0.00258 
8,340.65000 ,0.02413 ,-0.00328 
9,232.08000 ,0.02528 ,-0.00379 
10,158.11000 ,0.02626 ,-0.00430 
11,107.72000 ,0.02760 ,-0.00486 
12,73.39000 ,0.02893 ,-0.00497 
13,50.00000 ,0.02991 ,-0.00503 
14,34.06500 ,0.03109 ,-0.00546 
15,23.20800 ,0.03256 ,-0.00574 
16,15.81100 ,0.03345 ,-0.00615 
17,10.77200 ,0.03464 ,-0.00670 
18,7.33900 ,0.03588 ,-0.00794 
19,5.00000 ,0.03706 ,-0.00948 
20,3.40600 ,0.03919 ,-0.01168 
21,2.32100 ,0.04207 ,-0.01363 
22,1.58100 ,0.04692 ,-0.01571 
23,1.07700 ,0.05245 ,-0.01679 
24,0.73400 ,0.05839 ,-0.01572 
25,0.50000 ,0.06304 ,-0.01431 
26,0.34100 ,0.06660 ,-0.01209 
27,0.23200 ,0.06823 ,-0.00964 
28,0.15800 ,0.06997 ,-0.00793 
29,0.10800 ,0.07081 ,-0.00664 
30,0.07300 ,0.07167 ,-0.00777 
31,0.05000 ,0.07290 ,-0.00748 
