HIOKI E.E. CORPORATION,IM3590,Ver. 1.07,Serial No. 150331077
,,,
DATE,2021/11/8,,
TIME,17:08:43,,
,,,
SOURCE,FREQ,,
TRIG,SEQ,,
DRAW,REAL,,
TRIG DELAY,0,s,
SEGMENT,OFF,,
CC,5,mA,
BATTERY,ON,,
RANGE,AUTO,,
SPEED,---,,
AVG,2,,
POINT DELAY,0,s,
,,,
BATT,4.069,V,
No.,FREQUENCY[Hz],RS[ohm],X[ohm]
1,5000.00000 ,0.02128 ,0.00692 
2,3406.50000 ,0.02091 ,0.00422 
3,2320.80000 ,0.02084 ,0.00210 
4,1581.10000 ,0.02110 ,0.00048 
5,1077.20000 ,0.02155 ,-0.00079 
6,733.90000 ,0.02227 ,-0.00177 
7,500.00000 ,0.02308 ,-0.00258 
8,340.65000 ,0.02396 ,-0.00325 
9,232.08000 ,0.02502 ,-0.00410 
10,158.11000 ,0.02621 ,-0.00420 
11,107.72000 ,0.02720 ,-0.00469 
12,73.39000 ,0.02886 ,-0.00484 
13,50.00000 ,0.02997 ,-0.00516 
14,34.06500 ,0.03100 ,-0.00526 
15,23.20800 ,0.03218 ,-0.00555 
16,15.81100 ,0.03355 ,-0.00598 
17,10.77200 ,0.03467 ,-0.00649 
18,7.33900 ,0.03578 ,-0.00760 
19,5.00000 ,0.03738 ,-0.00870 
20,3.40600 ,0.03958 ,-0.01009 
21,2.32100 ,0.04283 ,-0.01187 
22,1.58100 ,0.04688 ,-0.01242 
23,1.07700 ,0.05095 ,-0.01194 
24,0.73400 ,0.05453 ,-0.01078 
25,0.50000 ,0.05706 ,-0.00863 
26,0.34100 ,0.05899 ,-0.00747 
27,0.23200 ,0.05991 ,-0.00555 
28,0.15800 ,0.06127 ,-0.00584 
29,0.10800 ,0.06139 ,-0.00536 
30,0.07300 ,0.06184 ,-0.00534 
31,0.05000 ,0.06254 ,-0.00581 
