HIOKI E.E. CORPORATION,IM3590,Ver. 1.07,Serial No. 150331077
,,,
DATE,2021/9/21,,
TIME,16:10:39,,
,,,
SOURCE,FREQ,,
TRIG,SEQ,,
DRAW,REAL,,
TRIG DELAY,0,s,
SEGMENT,OFF,,
CC,5,mA,
BATTERY,ON,,
RANGE,AUTO,,
SPEED,---,,
AVG,2,,
POINT DELAY,0,s,
,,,
BATT,4.115,V,
No.,FREQUENCY[Hz],RS[ohm],X[ohm]
1,5.00000E+03,2.12200E-02,8.48000E-03
2,3.40650E+03,2.08700E-02,5.25000E-03
3,2.32080E+03,2.08200E-02,2.69000E-03
4,1.58110E+03,2.11100E-02,9.00000E-04
5,1.07720E+03,2.16600E-02,-5.70000E-04
6,7.33900E+02,2.25100E-02,-1.73000E-03
7,5.00000E+02,2.31900E-02,-2.68000E-03
8,3.40650E+02,2.41700E-02,-3.38000E-03
9,2.32080E+02,2.53100E-02,-4.03000E-03
10,1.58110E+02,2.67900E-02,-4.54000E-03
11,1.07720E+02,2.75100E-02,-4.53000E-03
12,7.33900E+01,2.90400E-02,-4.93000E-03
13,5.00000E+01,3.01600E-02,-5.54000E-03
14,3.40650E+01,3.16600E-02,-5.30000E-03
15,2.32080E+01,3.26400E-02,-5.40000E-03
16,1.58110E+01,3.38400E-02,-6.05000E-03
17,1.07720E+01,3.49700E-02,-6.68000E-03
18,7.33900E+00,3.60800E-02,-7.64000E-03
19,5.00000E+00,3.76100E-02,-8.72000E-03
20,3.40600E+00,3.98800E-02,-1.07400E-02
21,2.32100E+00,4.33300E-02,-1.28300E-02
22,1.58100E+00,4.75700E-02,-1.35400E-02
23,1.07700E+00,5.23800E-02,-1.38100E-02
24,7.34000E-01,5.69100E-02,-1.25900E-02
25,5.00000E-01,6.00800E-02,-1.14200E-02
26,3.41000E-01,6.28600E-02,-9.25000E-03
27,2.32000E-01,6.39200E-02,-8.00000E-03
28,1.58000E-01,6.52200E-02,-7.27000E-03
29,1.08000E-01,6.58500E-02,-7.19000E-03
30,7.30000E-02,6.64000E-02,-7.62000E-03
31,5.00000E-02,6.78200E-02,-8.64000E-03
