HIOKI E.E. CORPORATION,IM3590,Ver. 1.07,Serial No. 150331077
,,,
DATE,2021/9/24,,
TIME,15:22:31,,
,,,
SOURCE,FREQ,,
TRIG,SEQ,,
DRAW,REAL,,
TRIG DELAY,0,s,
SEGMENT,OFF,,
CC,5,mA,
BATTERY,ON,,
RANGE,AUTO,,
SPEED,---,,
AVG,2,,
POINT DELAY,0,s,
,,,
BATT,4.1,V,
No.,FREQUENCY[Hz],RS[ohm],X[ohm]
1,5.00000E+03,2.15200E-02,8.36000E-03
2,3.40650E+03,2.11300E-02,5.11000E-03
3,2.32080E+03,2.11700E-02,2.62000E-03
4,1.58110E+03,2.14200E-02,6.80000E-04
5,1.07720E+03,2.19500E-02,-8.40000E-04
6,7.33900E+02,2.27500E-02,-2.03000E-03
7,5.00000E+02,2.36100E-02,-3.08000E-03
8,3.40650E+02,2.47000E-02,-3.97000E-03
9,2.32080E+02,2.60400E-02,-4.60000E-03
10,1.58110E+02,2.73600E-02,-5.51000E-03
11,1.07720E+02,2.88600E-02,-5.71000E-03
12,7.33900E+01,3.04700E-02,-6.17000E-03
13,5.00000E+01,3.21400E-02,-6.75000E-03
14,3.40650E+01,3.34800E-02,-6.66000E-03
15,2.32080E+01,3.51100E-02,-6.98000E-03
16,1.58110E+01,3.65800E-02,-7.46000E-03
17,1.07720E+01,3.80000E-02,-8.01000E-03
18,7.33900E+00,3.92500E-02,-9.24000E-03
19,5.00000E+00,4.10500E-02,-1.08100E-02
20,3.40600E+00,4.29800E-02,-1.34400E-02
21,2.32100E+00,4.62000E-02,-1.70500E-02
22,1.58100E+00,5.06900E-02,-2.00400E-02
23,1.07700E+00,5.74700E-02,-2.31300E-02
24,7.34000E-01,6.57000E-02,-2.44500E-02
25,5.00000E-01,7.38400E-02,-2.33400E-02
26,3.41000E-01,8.11000E-02,-2.06600E-02
27,2.32000E-01,8.63300E-02,-1.71700E-02
28,1.58000E-01,8.97100E-02,-1.32200E-02
29,1.08000E-01,9.20900E-02,-1.11800E-02
30,7.30000E-02,9.35700E-02,-1.15200E-02
31,5.00000E-02,9.53100E-02,-9.36000E-03
