HIOKI E.E. CORPORATION,IM3590,Ver. 1.07,Serial No. 150331077
,,,
DATE,2021/11/17,,
TIME,13:36:59,,
,,,
SOURCE,FREQ,,
TRIG,SEQ,,
DRAW,REAL,,
TRIG DELAY,0,s,
SEGMENT,OFF,,
CC,5,mA,
BATTERY,ON,,
RANGE,AUTO,,
SPEED,---,,
AVG,2,,
POINT DELAY,0,s,
,,,
BATT,4.1,V,
No.,FREQUENCY[Hz],RS[ohm],X[ohm]
1,5000.00000 ,0.02170 ,0.00592 
2,3406.50000 ,0.02133 ,0.00346 
3,2320.80000 ,0.02130 ,0.00150 
4,1581.10000 ,0.02160 ,-0.00003 
5,1077.20000 ,0.02211 ,-0.00129 
6,733.90000 ,0.02288 ,-0.00238 
7,500.00000 ,0.02373 ,-0.00331 
8,340.65000 ,0.02480 ,-0.00406 
9,232.08000 ,0.02587 ,-0.00475 
10,158.11000 ,0.02718 ,-0.00527 
11,107.72000 ,0.02872 ,-0.00582 
12,73.39000 ,0.03034 ,-0.00635 
13,50.00000 ,0.03227 ,-0.00626 
14,34.06500 ,0.03333 ,-0.00677 
15,23.20800 ,0.03495 ,-0.00699 
16,15.81100 ,0.03605 ,-0.00744 
17,10.77200 ,0.03770 ,-0.00820 
18,7.33900 ,0.03918 ,-0.00895 
19,5.00000 ,0.04111 ,-0.01070 
20,3.40600 ,0.04310 ,-0.01352 
21,2.32100 ,0.04600 ,-0.01688 
22,1.58100 ,0.05069 ,-0.02113 
23,1.07700 ,0.05745 ,-0.02527 
24,0.73400 ,0.06635 ,-0.02811 
25,0.50000 ,0.07580 ,-0.02794 
26,0.34100 ,0.08464 ,-0.02597 
27,0.23200 ,0.09118 ,-0.02149 
28,0.15800 ,0.09534 ,-0.01775 
29,0.10800 ,0.09768 ,-0.01444 
30,0.07300 ,0.09964 ,-0.01232 
31,0.05000 ,0.10176 ,-0.01134 
