5000	0.0216	0.00913	2.12E-02	8.48E-03	0.02138	0.00851	0.02128	0.00692
3410	0.0212	0.00576	2.09E-02	5.25E-03	0.02097	0.00531	0.02091	0.00422
2320	0.0212	0.00314	2.08E-02	2.69E-03	0.02091	0.00293	0.02084	0.0021
1580	0.0214	0.00119	2.11E-02	9.00E-04	0.02121	0.00094	0.0211	0.00048
1080	0.0218	-0.00028	2.17E-02	-5.70E-04	0.02166	-0.00046	0.02155	-0.00079
734	0.0225	-0.0014	2.25E-02	-1.73E-03	0.02236	-0.00165	0.02227	-0.00177
500	0.0233	-0.0024	2.32E-02	-2.68E-03	0.02322	-0.00258	0.02308	-0.00258
341	0.0242	-0.00312	2.42E-02	-3.38E-03	0.02413	-0.00328	0.02396	-0.00325
232	0.0254	-0.00373	2.53E-02	-4.03E-03	0.02528	-0.00379	0.02502	-0.0041
158	0.0264	-0.00413	2.68E-02	-4.54E-03	0.02626	-0.0043	0.02621	-0.0042
108	0.0273	-0.00454	2.75E-02	-4.53E-03	0.0276	-0.00486	0.0272	-0.00469
73.4	0.0288	-0.00478	2.90E-02	-4.93E-03	0.02893	-0.00497	0.02886	-0.00484
50	0.0299	-0.0049	3.02E-02	-5.54E-03	0.02991	-0.00503	0.02997	-0.00516
34.1	0.0314	-0.00525	3.17E-02	-5.30E-03	0.03109	-0.00546	0.031	-0.00526
23.2	0.0322	-0.00553	3.26E-02	-5.40E-03	0.03256	-0.00574	0.03218	-0.00555
15.8	0.0334	-0.00568	3.38E-02	-6.05E-03	0.03345	-0.00615	0.03355	-0.00598
10.8	0.0344	-0.00651	3.50E-02	-6.68E-03	0.03464	-0.0067	0.03467	-0.00649
7.34	0.0358	-0.00737	3.61E-02	-7.64E-03	0.03588	-0.00794	0.03578	-0.0076
5	0.0375	-0.00851	3.76E-02	-8.72E-03	0.03706	-0.00948	0.03738	-0.0087
3.41	0.0396	-0.0101	3.99E-02	-1.07E-02	0.03919	-0.01168	0.03958	-0.01009
2.32	0.043	-0.0118	4.33E-02	-1.28E-02	0.04207	-0.01363	0.04283	-0.01187
1.58	0.0471	-0.0128	4.76E-02	-1.35E-02	0.04692	-0.01571	0.04688	-0.01242
1.08	0.0514	-0.0129	5.24E-02	-1.38E-02	0.05245	-0.01679	0.05095	-0.01194
0.734	0.0555	-0.0117	5.69E-02	-1.26E-02	0.05839	-0.01572	0.05453	-0.01078
0.5	0.0586	-0.00983	6.01E-02	-1.14E-02	0.06304	-0.01431	0.05706	-0.00863
0.341	0.0601	-0.00829	6.29E-02	-9.25E-03	0.0666	-0.01209	0.05899	-0.00747
0.232	0.0613	-0.0073	6.39E-02	-8.00E-03	0.06823	-0.00964	0.05991	-0.00555
0.158	0.0622	-0.00649	6.52E-02	-7.27E-03	0.06997	-0.00793	0.06127	-0.00584
0.108	0.063	-0.00569	6.59E-02	-7.19E-03	0.07081	-0.00664	0.06139	-0.00536
0.073	0.0646	-0.00579	6.64E-02	-7.62E-03	0.07167	-0.00777	0.06184	-0.00534
0.05	0.0658	-0.00629	6.78E-02	-8.64E-03	0.0729	-0.00748	0.06254	-0.00581
