5000	0.0213	0.00941	0.0208	0.00942	0.02103	0.00919	0.02075	0.00945
3410	0.0208	0.00612	0.0204	0.00601	0.02054	0.00596	0.02035	0.00612
2320	0.0207	0.0037	0.0203	0.00354	0.02042	0.00354	0.02017	0.00366
1580	0.0208	0.00183	0.0205	0.00165	0.02057	0.00173	0.0204	0.00179
1080	0.0212	0.00047	0.0209	0.00029	0.02086	0.0004	0.02072	0.00042
734	0.0217	-0.00046	0.0214	-0.00077	0.02148	-0.0006	0.02125	-0.00055
500	0.0222	-0.00124	0.0221	-0.00151	0.02203	-0.00131	0.02184	-0.00133
341	0.0228	-0.00176	0.0228	-0.00217	0.02263	-0.00182	0.02241	-0.00194
232	0.0234	-0.00186	0.0236	-0.00259	0.02335	-0.00236	0.02329	-0.00236
158	0.0242	-0.00234	0.0242	-0.00284	0.024	-0.00252	0.02411	-0.00267
108	0.0247	-0.00276	0.0251	-0.00305	0.02466	-0.0027	0.02478	-0.00304
73.4	0.0257	-0.00295	0.0257	-0.00324	0.02559	-0.00316	0.02561	-0.00316
50	0.0265	-0.00316	0.0269	-0.00302	0.02632	-0.00327	0.02656	-0.00327
34.1	0.0271	-0.0032	0.0276	-0.00332	0.02704	-0.00343	0.02754	-0.00323
23.2	0.0276	-0.00311	0.0282	-0.0036	0.02791	-0.00362	0.02818	-0.00338
15.8	0.0283	-0.00352	0.0293	-0.00354	0.02845	-0.0039	0.02893	-0.0034
10.8	0.0291	-0.00418	0.0301	-0.0037	0.02929	-0.0046	0.02992	-0.00343
7.34	0.0302	-0.00495	0.0312	-0.00394	0.03011	-0.00533	0.03086	-0.00305
5	0.0317	-0.00541	0.0322	-0.00365	0.0319	-0.00629	0.03155	-0.00291
3.41	0.0335	-0.0057	0.033	-0.00324	0.0338	-0.00644	0.03197	-0.00255
2.32	0.0346	-0.00502	0.0338	-0.00274	0.03576	-0.00683	0.03263	-0.00219
1.58	0.0365	-0.00473	0.0345	-0.00249	0.03824	-0.00625	0.03314	-0.00182
1.08	0.0374	-0.0042	0.0347	-0.00214	0.03954	-0.00513	0.03322	-0.00176
0.734	0.0386	-0.00328	0.0353	-0.00188	0.04068	-0.00434	0.0337	-0.00155
0.5	0.0389	-0.00319	0.0357	-0.00182	0.04192	-0.0039	0.03397	-0.00182
0.341	0.0393	-0.00238	0.0354	-0.00177	0.04209	-0.00294	0.03417	-0.0018
0.232	0.0398	-0.00327	0.0361	-0.00188	0.0424	-0.00314	0.0345	-0.00242
0.158	0.0401	-0.00261	0.0368	-0.00189	0.04294	-0.0035	0.03502	-0.00219
0.108	0.0409	-0.00379	0.0379	-0.00325	0.04343	-0.00348	0.03533	-0.0032
0.073	0.0413	-0.00356	0.0377	-0.00346	0.04469	-0.00483	0.03609	-0.00341
0.05	0.0415	-0.00477	0.0384	-0.00453	0.04455	-0.00357	0.03692	-0.00421
