5000	0.0218	0.00946	2.15E-02	8.22E-03	2.15E-02	8.36E-03	0.0217	0.00592
3410	0.0214	0.0059	2.12E-02	4.96E-03	2.11E-02	5.11E-03	0.02133	0.00346
2320	0.0214	0.00322	2.12E-02	2.48E-03	2.12E-02	2.62E-03	0.0213	0.0015
1580	0.0217	0.00112	2.15E-02	5.10E-04	2.14E-02	6.80E-04	0.0216	-0.00003
1080	0.0222	-0.00047	2.21E-02	-1.00E-03	2.20E-02	-8.40E-04	0.02211	-0.00129
734	0.023	-0.00169	2.29E-02	-2.23E-03	2.28E-02	-2.03E-03	0.02288	-0.00238
500	0.0237	-0.00273	2.38E-02	-3.25E-03	2.36E-02	-3.08E-03	0.02373	-0.00331
341	0.0248	-0.00364	2.49E-02	-4.24E-03	2.47E-02	-3.97E-03	0.0248	-0.00406
232	0.0262	-0.00427	2.62E-02	-5.11E-03	2.60E-02	-4.60E-03	0.02587	-0.00475
158	0.0272	-0.00454	2.78E-02	-5.76E-03	2.74E-02	-5.51E-03	0.02718	-0.00527
108	0.0287	-0.00554	2.92E-02	-6.26E-03	2.89E-02	-5.71E-03	0.02872	-0.00582
73.4	0.0302	-0.0057	3.09E-02	-6.62E-03	3.05E-02	-6.17E-03	0.03034	-0.00635
50	0.0317	-0.00598	3.28E-02	-6.88E-03	3.21E-02	-6.75E-03	0.03227	-0.00626
34.1	0.0332	-0.00606	3.43E-02	-7.15E-03	3.35E-02	-6.66E-03	0.03333	-0.00677
23.2	0.0343	-0.00639	3.62E-02	-7.33E-03	3.51E-02	-6.98E-03	0.03495	-0.00699
15.8	0.0357	-0.00696	3.73E-02	-7.85E-03	3.66E-02	-7.46E-03	0.03605	-0.00744
10.8	0.037	-0.00761	3.86E-02	-8.27E-03	3.80E-02	-8.01E-03	0.0377	-0.0082
7.34	0.0384	-0.00882	4.02E-02	-9.47E-03	3.93E-02	-9.24E-03	0.03918	-0.00895
5	0.0398	-0.0107	4.19E-02	-1.10E-02	4.11E-02	-1.08E-02	0.04111	-0.0107
3.41	0.0421	-0.0129	4.45E-02	-1.32E-02	4.30E-02	-1.34E-02	0.0431	-0.01352
2.32	0.0454	-0.0163	4.75E-02	-1.60E-02	4.62E-02	-1.71E-02	0.046	-0.01688
1.58	0.0499	-0.0192	5.23E-02	-1.93E-02	5.07E-02	-2.00E-02	0.05069	-0.02113
1.08	0.0566	-0.0212	5.87E-02	-2.09E-02	5.75E-02	-2.31E-02	0.05745	-0.02527
0.734	0.0637	-0.0211	6.62E-02	-2.15E-02	6.57E-02	-2.45E-02	0.06635	-0.02811
0.5	0.0708	-0.0196	7.31E-02	-1.89E-02	7.38E-02	-2.33E-02	0.0758	-0.02794
0.341	0.0762	-0.0168	7.81E-02	-1.71E-02	8.11E-02	-2.07E-02	0.08464	-0.02597
0.232	0.0796	-0.0138	8.23E-02	-1.42E-02	8.63E-02	-1.72E-02	0.09118	-0.02149
0.158	0.0818	-0.0112	8.46E-02	-1.15E-02	8.97E-02	-1.32E-02	0.09534	-0.01775
0.108	0.0845	-0.01	8.60E-02	-1.03E-02	9.21E-02	-1.12E-02	0.09768	-0.01444
0.073	0.0856	-0.00922	8.82E-02	-9.65E-03	9.36E-02	-1.15E-02	0.09964	-0.01232
0.05	0.0875	-0.00895	8.92E-02	-1.00E-02	9.53E-02	-9.36E-03	0.10176	-0.01134
