HIOKI E.E. CORPORATION,IM3590,Ver. 1.07,Serial No. 150331077
,,,
DATE,2021/9/24,,
TIME,17:11:07,,
,,,
SOURCE,FREQ,,
TRIG,SEQ,,
DRAW,REAL,,
TRIG DELAY,0,s,
SEGMENT,OFF,,
CC,5,mA,
BATTERY,ON,,
RANGE,AUTO,,
SPEED,---,,
AVG,2,,
POINT DELAY,0,s,
,,,
BATT,4.099,V,
No.,FREQUENCY[Hz],RS[ohm],X[ohm]
1,5000.00000 ,0.02272 ,0.00759 
2,3406.50000 ,0.02245 ,0.00426 
3,2320.80000 ,0.02257 ,0.00153 
4,1581.10000 ,0.02306 ,-0.00052 
5,1077.20000 ,0.02382 ,-0.00233 
6,733.90000 ,0.02489 ,-0.00397 
7,500.00000 ,0.02617 ,-0.00541 
8,340.65000 ,0.02778 ,-0.00674 
9,232.08000 ,0.02953 ,-0.00829 
10,158.11000 ,0.03161 ,-0.00936 
11,107.72000 ,0.03456 ,-0.01076 
12,73.39000 ,0.03692 ,-0.01236 
13,50.00000 ,0.04043 ,-0.01392 
14,34.06500 ,0.04378 ,-0.01536 
15,23.20800 ,0.04761 ,-0.01673 
16,15.81100 ,0.05179 ,-0.01802 
17,10.77200 ,0.05604 ,-0.01942 
18,7.33900 ,0.06030 ,-0.02121 
19,5.00000 ,0.06519 ,-0.02337 
20,3.40600 ,0.06937 ,-0.02668 
21,2.32100 ,0.07427 ,-0.03111 
22,1.58100 ,0.07992 ,-0.03737 
23,1.07700 ,0.08716 ,-0.04606 
24,0.73400 ,0.09721 ,-0.05891 
25,0.50000 ,0.11190 ,-0.07333 
26,0.34100 ,0.13406 ,-0.08832 
27,0.23200 ,0.16398 ,-0.09891 
28,0.15800 ,0.19815 ,-0.09982 
29,0.10800 ,0.22934 ,-0.09180 
30,0.07300 ,0.25542 ,-0.07788 
31,0.05000 ,0.27169 ,-0.06408 
