HIOKI E.E. CORPORATION,IM3590,Ver. 1.07,Serial No. 150331077
,,,
DATE,2021/11/18,,
TIME,16:06:27,,
,,,
SOURCE,FREQ,,
TRIG,SEQ,,
DRAW,REAL,,
TRIG DELAY,0,s,
SEGMENT,OFF,,
CC,5,mA,
BATTERY,ON,,
RANGE,AUTO,,
SPEED,---,,
AVG,2,,
POINT DELAY,0,s,
,,,
BATT,3.903,V,
No.,FREQUENCY[Hz],RS[ohm],X[ohm]
1,5000.00000 ,0.02275 ,0.00571 
2,3406.50000 ,0.02244 ,0.00310 
3,2320.80000 ,0.02255 ,0.00094 
4,1581.10000 ,0.02296 ,-0.00081 
5,1077.20000 ,0.02365 ,-0.00234 
6,733.90000 ,0.02463 ,-0.00370 
7,500.00000 ,0.02580 ,-0.00489 
8,340.65000 ,0.02712 ,-0.00616 
9,232.08000 ,0.02877 ,-0.00736 
10,158.11000 ,0.03085 ,-0.00840 
11,107.72000 ,0.03263 ,-0.00955 
12,73.39000 ,0.03544 ,-0.01120 
13,50.00000 ,0.03829 ,-0.01214 
14,34.06500 ,0.04154 ,-0.01338 
15,23.20800 ,0.04501 ,-0.01482 
16,15.81100 ,0.04844 ,-0.01612 
17,10.77200 ,0.05241 ,-0.01689 
18,7.33900 ,0.05597 ,-0.01800 
19,5.00000 ,0.06006 ,-0.01960 
20,3.40600 ,0.06527 ,-0.02213 
21,2.32100 ,0.07104 ,-0.02432 
22,1.58100 ,0.07839 ,-0.02672 
23,1.07700 ,0.08700 ,-0.02815 
24,0.73400 ,0.09666 ,-0.02813 
25,0.50000 ,0.10605 ,-0.02606 
26,0.34100 ,0.11348 ,-0.02256 
27,0.23200 ,0.11895 ,-0.01858 
28,0.15800 ,0.12324 ,-0.01514 
29,0.10800 ,0.12667 ,-0.01296 
30,0.07300 ,0.12978 ,-0.01163 
31,0.05000 ,0.13213 ,-0.01182 
