HIOKI E.E. CORPORATION,IM3590,Ver. 1.07,Serial No. 150331077
,,,
DATE,2021/11/18,,
TIME,16:13:56,,
,,,
SOURCE,FREQ,,
TRIG,SEQ,,
DRAW,REAL,,
TRIG DELAY,0,s,
SEGMENT,OFF,,
CC,5,mA,
BATTERY,ON,,
RANGE,AUTO,,
SPEED,---,,
AVG,2,,
POINT DELAY,0,s,
,,,
BATT,4.088,V,
No.,FREQUENCY[Hz],RS[ohm],X[ohm]
1,5000.00000 ,0.02342 ,0.00643 
2,3406.50000 ,0.02314 ,0.00353 
3,2320.80000 ,0.02318 ,0.00108 
4,1581.10000 ,0.02367 ,-0.00074 
5,1077.20000 ,0.02445 ,-0.00239 
6,733.90000 ,0.02541 ,-0.00383 
7,500.00000 ,0.02673 ,-0.00514 
8,340.65000 ,0.02814 ,-0.00646 
9,232.08000 ,0.02972 ,-0.00752 
10,158.11000 ,0.03186 ,-0.00880 
11,107.72000 ,0.03422 ,-0.01011 
12,73.39000 ,0.03679 ,-0.01140 
13,50.00000 ,0.03988 ,-0.01252 
14,34.06500 ,0.04342 ,-0.01387 
15,23.20800 ,0.04650 ,-0.01504 
16,15.81100 ,0.04993 ,-0.01611 
17,10.77200 ,0.05375 ,-0.01716 
18,7.33900 ,0.05746 ,-0.01850 
19,5.00000 ,0.06139 ,-0.02071 
20,3.40600 ,0.06518 ,-0.02377 
21,2.32100 ,0.07025 ,-0.02755 
22,1.58100 ,0.07500 ,-0.03375 
23,1.07700 ,0.08156 ,-0.04265 
24,0.73400 ,0.09217 ,-0.05351 
25,0.50000 ,0.10732 ,-0.06728 
26,0.34100 ,0.12971 ,-0.08045 
27,0.23200 ,0.15855 ,-0.08807 
28,0.15800 ,0.18915 ,-0.08787 
29,0.10800 ,0.21659 ,-0.07913 
30,0.07300 ,0.23623 ,-0.06590 
31,0.05000 ,0.25027 ,-0.05347 
