HIOKI E.E. CORPORATION,IM3590,Ver. 1.07,Serial No. 150331077
,,,
DATE,2021/9/22,,
TIME,14:22:50,,
,,,
SOURCE,FREQ,,
TRIG,SEQ,,
DRAW,REAL,,
TRIG DELAY,0,s,
SEGMENT,OFF,,
CC,5,mA,
BATTERY,ON,,
RANGE,AUTO,,
SPEED,---,,
AVG,2,,
POINT DELAY,0,s,
,,,
BATT,4.106,V,
No.,FREQUENCY[Hz],RS[ohm],X[ohm]
1,5000.00000 ,0.02233 ,0.00732 
2,3406.50000 ,0.02216 ,0.00396 
3,2320.80000 ,0.02229 ,0.00124 
4,1581.10000 ,0.02289 ,-0.00093 
5,1077.20000 ,0.02372 ,-0.00277 
6,733.90000 ,0.02492 ,-0.00440 
7,500.00000 ,0.02625 ,-0.00597 
8,340.65000 ,0.02801 ,-0.00757 
9,232.08000 ,0.03005 ,-0.00877 
10,158.11000 ,0.03242 ,-0.01041 
11,107.72000 ,0.03470 ,-0.01231 
12,73.39000 ,0.03837 ,-0.01392 
13,50.00000 ,0.04169 ,-0.01610 
14,34.06500 ,0.04533 ,-0.01773 
15,23.20800 ,0.04982 ,-0.01978 
16,15.81100 ,0.05503 ,-0.02218 
17,10.77200 ,0.06060 ,-0.02447 
18,7.33900 ,0.06562 ,-0.02647 
19,5.00000 ,0.07181 ,-0.02890 
20,3.40600 ,0.07746 ,-0.03156 
21,2.32100 ,0.08343 ,-0.03624 
22,1.58100 ,0.09024 ,-0.04219 
23,1.07700 ,0.09825 ,-0.05094 
24,0.73400 ,0.10928 ,-0.06291 
25,0.50000 ,0.12455 ,-0.07722 
26,0.34100 ,0.14776 ,-0.09153 
27,0.23200 ,0.17931 ,-0.10262 
28,0.15800 ,0.21598 ,-0.10353 
29,0.10800 ,0.24908 ,-0.09599 
30,0.07300 ,0.27602 ,-0.08062 
31,0.05000 ,0.29289 ,-0.06468 
