HIOKI E.E. CORPORATION,IM3590,Ver. 1.07,Serial No. 150331077
,,,
DATE,2021/10/19,,
TIME,16:52:00,,
,,,
SOURCE,FREQ,,
TRIG,SEQ,,
DRAW,REAL,,
TRIG DELAY,0,s,
SEGMENT,OFF,,
CC,5,mA,
BATTERY,ON,,
RANGE,AUTO,,
SPEED,---,,
AVG,2,,
POINT DELAY,0,s,
,,,
BATT,4.08,V,
No.,FREQUENCY[Hz],RS[ohm],X[ohm]
1,5000.00000 ,0.02075 ,0.00948 
2,3406.50000 ,0.02030 ,0.00622 
3,2320.80000 ,0.02018 ,0.00380 
4,1581.10000 ,0.02032 ,0.00200 
5,1077.20000 ,0.02058 ,0.00070 
6,733.90000 ,0.02104 ,-0.00029 
7,500.00000 ,0.02147 ,-0.00100 
8,340.65000 ,0.02202 ,-0.00147 
9,232.08000 ,0.02248 ,-0.00190 
10,158.11000 ,0.02319 ,-0.00221 
11,107.72000 ,0.02376 ,-0.00235 
12,73.39000 ,0.02429 ,-0.00270 
13,50.00000 ,0.02523 ,-0.00268 
14,34.06500 ,0.02585 ,-0.00262 
15,23.20800 ,0.02644 ,-0.00318 
16,15.81100 ,0.02709 ,-0.00330 
17,10.77200 ,0.02793 ,-0.00355 
18,7.33900 ,0.02898 ,-0.00394 
19,5.00000 ,0.02984 ,-0.00372 
20,3.40600 ,0.03086 ,-0.00354 
21,2.32100 ,0.03196 ,-0.00327 
22,1.58100 ,0.03285 ,-0.00291 
23,1.07700 ,0.03299 ,-0.00232 
24,0.73400 ,0.03350 ,-0.00197 
25,0.50000 ,0.03347 ,-0.00180 
26,0.34100 ,0.03367 ,-0.00183 
27,0.23200 ,0.03388 ,-0.00189 
28,0.15800 ,0.03452 ,-0.00229 
29,0.10800 ,0.03487 ,-0.00147 
30,0.07300 ,0.03527 ,-0.00230 
31,0.05000 ,0.03615 ,-0.00348 
