HIOKI E.E. CORPORATION,IM3590,Ver. 1.07,Serial No. 150331077
,,,
DATE,2021/9/24,,
TIME,14:16:21,,
,,,
SOURCE,FREQ,,
TRIG,SEQ,,
DRAW,REAL,,
TRIG DELAY,0,s,
SEGMENT,OFF,,
CC,5,mA,
BATTERY,ON,,
RANGE,AUTO,,
SPEED,---,,
AVG,2,,
POINT DELAY,0,s,
,,,
BATT,4.101,V,
No.,FREQUENCY[Hz],RS[ohm],X[ohm]
1,5000.00000 ,0.02117 ,0.00866 
2,3406.50000 ,0.02072 ,0.00549 
3,2320.80000 ,0.02067 ,0.00304 
4,1581.10000 ,0.02088 ,0.00127 
5,1077.20000 ,0.02128 ,-0.00011 
6,733.90000 ,0.02194 ,-0.00113 
7,500.00000 ,0.02261 ,-0.00194 
8,340.65000 ,0.02339 ,-0.00258 
9,232.08000 ,0.02411 ,-0.00282 
10,158.11000 ,0.02522 ,-0.00314 
11,107.72000 ,0.02596 ,-0.00370 
12,73.39000 ,0.02735 ,-0.00409 
13,50.00000 ,0.02861 ,-0.00415 
14,34.06500 ,0.02948 ,-0.00450 
15,23.20800 ,0.03001 ,-0.00470 
16,15.81100 ,0.03089 ,-0.00493 
17,10.77200 ,0.03185 ,-0.00567 
18,7.33900 ,0.03288 ,-0.00655 
19,5.00000 ,0.03440 ,-0.00817 
20,3.40600 ,0.03673 ,-0.00960 
21,2.32100 ,0.04030 ,-0.01109 
22,1.58100 ,0.04387 ,-0.01182 
23,1.07700 ,0.04747 ,-0.01139 
24,0.73400 ,0.05132 ,-0.01021 
25,0.50000 ,0.05265 ,-0.00837 
26,0.34100 ,0.05415 ,-0.00695 
27,0.23200 ,0.05607 ,-0.00602 
28,0.15800 ,0.05544 ,-0.00513 
29,0.10800 ,0.05818 ,-0.00550 
30,0.07300 ,0.05748 ,-0.00536 
31,0.05000 ,0.05812 ,-0.00581 
