HIOKI E.E. CORPORATION,IM3590,Ver. 1.07,Serial No. 150331077
,,,
DATE,2021/10/20,,
TIME,13:06:09,,
,,,
SOURCE,FREQ,,
TRIG,SEQ,,
DRAW,REAL,,
TRIG DELAY,0,s,
SEGMENT,OFF,,
CC,5,mA,
BATTERY,ON,,
RANGE,AUTO,,
SPEED,---,,
AVG,2,,
POINT DELAY,0,s,
,,,
BATT,3.927,V,
No.,FREQUENCY[Hz],RS[ohm],X[ohm]
1,5000.00000 ,0.02089 ,0.00933 
2,3406.50000 ,0.02048 ,0.00596 
3,2320.80000 ,0.02048 ,0.00346 
4,1581.10000 ,0.02059 ,0.00156 
5,1077.20000 ,0.02098 ,0.00016 
6,733.90000 ,0.02161 ,-0.00091 
7,500.00000 ,0.02223 ,-0.00178 
8,340.65000 ,0.02298 ,-0.00238 
9,232.08000 ,0.02371 ,-0.00300 
10,158.11000 ,0.02468 ,-0.00330 
11,107.72000 ,0.02582 ,-0.00348 
12,73.39000 ,0.02651 ,-0.00378 
13,50.00000 ,0.02772 ,-0.00384 
14,34.06500 ,0.02864 ,-0.00411 
15,23.20800 ,0.02962 ,-0.00429 
16,15.81100 ,0.03070 ,-0.00440 
17,10.77200 ,0.03182 ,-0.00424 
18,7.33900 ,0.03289 ,-0.00438 
19,5.00000 ,0.03401 ,-0.00411 
20,3.40600 ,0.03516 ,-0.00322 
21,2.32100 ,0.03583 ,-0.00315 
22,1.58100 ,0.03640 ,-0.00269 
23,1.07700 ,0.03672 ,-0.00243 
24,0.73400 ,0.03736 ,-0.00253 
25,0.50000 ,0.03778 ,-0.00217 
26,0.34100 ,0.03785 ,-0.00226 
27,0.23200 ,0.03825 ,-0.00270 
28,0.15800 ,0.03907 ,-0.00253 
29,0.10800 ,0.03950 ,-0.00301 
30,0.07300 ,0.03969 ,-0.00405 
31,0.05000 ,0.04126 ,-0.00387 
