HIOKI E.E. CORPORATION,IM3590,Ver. 1.07,Serial No. 150331077
,,,
DATE,2021/9/17,,
TIME,16:13:18,,
,,,
SOURCE,FREQ,,
TRIG,SEQ,,
DRAW,REAL,,
TRIG DELAY,0,s,
SEGMENT,OFF,,
CC,5,mA,
BATTERY,ON,,
RANGE,AUTO,,
SPEED,---,,
AVG,2,,
POINT DELAY,0,s,
,,,
BATT,4.082,V,
No.,FREQUENCY[Hz],RS[ohm],X[ohm]
1,5000.00000 ,0.02088 ,0.00930 
2,3406.50000 ,0.02048 ,0.00590 
3,2320.80000 ,0.02044 ,0.00333 
4,1581.10000 ,0.02067 ,0.00142 
5,1077.20000 ,0.02107 ,0.00001 
6,733.90000 ,0.02164 ,-0.00108 
7,500.00000 ,0.02242 ,-0.00190 
8,340.65000 ,0.02321 ,-0.00255 
9,232.08000 ,0.02399 ,-0.00300 
10,158.11000 ,0.02493 ,-0.00334 
11,107.72000 ,0.02574 ,-0.00389 
12,73.39000 ,0.02692 ,-0.00378 
13,50.00000 ,0.02796 ,-0.00405 
14,34.06500 ,0.02884 ,-0.00406 
15,23.20800 ,0.02982 ,-0.00412 
16,15.81100 ,0.03093 ,-0.00410 
17,10.77200 ,0.03174 ,-0.00443 
18,7.33900 ,0.03288 ,-0.00465 
19,5.00000 ,0.03412 ,-0.00464 
20,3.40600 ,0.03587 ,-0.00459 
21,2.32100 ,0.03702 ,-0.00404 
22,1.58100 ,0.03810 ,-0.00352 
23,1.07700 ,0.03887 ,-0.00331 
24,0.73400 ,0.03939 ,-0.00260 
25,0.50000 ,0.03919 ,-0.00246 
26,0.34100 ,0.04031 ,-0.00247 
27,0.23200 ,0.04031 ,-0.00257 
28,0.15800 ,0.04023 ,-0.00245 
29,0.10800 ,0.04126 ,-0.00336 
30,0.07300 ,0.04183 ,-0.00345 
31,0.05000 ,0.04256 ,-0.00428 
